lat,lon,name
28.684087,77.202357,
28.684203,77.202534,
28.684247,77.202600,
28.684437,77.202888,
28.684418,77.202979,
28.684439,77.203070,
28.684493,77.203141,
28.684424,77.203276,
28.683670,77.204627,
28.682618,77.206534,
28.681137,77.207747,
28.680953,77.207903,
28.680201,77.208518,
28.679260,77.208250,
28.678805,77.208106,
28.678401,77.207993,
28.678337,77.207999,
28.678264,77.207952,Malka Ganj Chowk
28.678324,77.208320,
28.678336,77.208390,
28.678367,77.208557,
28.678553,77.209499,
28.678616,77.209817,
28.678643,77.209957,
28.678690,77.210150,
28.678815,77.210526,
28.678960,77.210814,
28.679215,77.211197,
28.679332,77.211378,
28.679347,77.211400,
28.679531,77.211690,
28.679577,77.211779,
28.679600,77.211820,
28.679683,77.211972,
28.679753,77.212125,
28.679771,77.212166,
28.679826,77.212307,
28.679920,77.212570,
28.680086,77.213077,
28.680258,77.213674,
28.680310,77.213929,
28.680357,77.214185,
28.680401,77.214375,
28.680475,77.214634,
28.680534,77.214830,
28.680501,77.214920,
28.680480,77.214974,
28.680455,77.215025,
28.680438,77.215048,
28.680414,77.215070,
28.680281,77.215118,
28.680236,77.215143,
28.680176,77.215214,
28.679718,77.215463,
28.679160,77.215767,
28.678901,77.215883,
28.678509,77.215935,
28.677883,77.215970,
28.677058,77.215869,
28.676932,77.215855,
28.676786,77.215882,
28.676576,77.215958,
28.676215,77.216082,
28.676054,77.216119,
28.675800,77.216179,
28.675651,77.216250,
28.675399,77.216382,
28.675030,77.216568,
28.674925,77.216614,
28.674896,77.216619,
28.674861,77.216620,
28.674672,77.216594,
28.674640,77.216596,
28.674603,77.216605,
28.674454,77.216699,
28.674398,77.216724,
28.674300,77.216834,
28.674097,77.217525,
28.674024,77.217753,
28.673838,77.218295,
28.673440,77.219253,
28.673205,77.219725,
28.673167,77.219773,
28.673111,77.219851,
28.673012,77.219990,
28.672978,77.220048,
28.672935,77.220140,
28.672911,77.220224,
28.672826,77.220894,
28.672819,77.220948,
28.672776,77.221614,
28.672751,77.222130,
28.672751,77.222296,
28.672764,77.222395,
28.672786,77.222477,
28.672821,77.222552,
28.672924,77.222719,
28.673257,77.223129,
28.673295,77.223208,
28.673327,77.223324,
28.673337,77.223458,
28.673236,77.224516,
28.673185,77.224985,
28.673136,77.225531,
28.673122,77.225685,
28.673112,77.225782,
28.672891,77.225809,
28.672868,77.225816,
28.672716,77.225859,
28.672547,77.225911,
28.671904,77.226142,
28.671554,77.226207,
28.670357,77.226606,
28.669886,77.226763,
28.669735,77.226889,
28.669560,77.226975,
28.669559,77.227035,
28.669514,77.227112,
28.669467,77.227163,
28.669358,77.227295,
28.669174,77.227521,
28.669120,77.227587,
28.669047,77.227642,
28.669105,77.227790,
28.669165,77.227972,
28.669235,77.228177,
28.670457,77.232741,
28.670682,77.233484,
28.672638,77.238722,
28.672692,77.238861,
28.673177,77.240113,
28.674015,77.242316,
28.674225,77.243038,
28.674342,77.243708,
28.674399,77.244431,
28.674399,77.245128,
28.674313,77.245936,
28.673977,77.248100,
28.673951,77.248421,
28.673911,77.248723,
28.673849,77.249056,
28.673784,77.249295,
28.673538,77.250681,
28.673531,77.250721,
28.673365,77.251818,
28.673367,77.252404,
28.673196,77.253385,
28.672987,77.254693,
28.672874,77.255461,
28.672814,77.255870,
28.672791,77.256031,
28.672834,77.256042,
28.673053,77.256078,
28.674803,77.256506,
28.674884,77.256526,
28.676418,77.256900,
28.676759,77.256919,
28.677086,77.256883,
28.677219,77.256853,
28.677252,77.256955,
28.677282,77.257045,
28.677418,77.257387,
28.677450,77.257480,
28.677465,77.257522,
28.677459,77.257698,
28.677442,77.257856,
28.677193,77.259628,
28.677171,77.259797,
28.677081,77.260370,
28.677085,77.260443,
28.677100,77.260515,
28.677128,77.260599,
28.677419,77.261557,
28.677472,77.261740,
28.677477,77.261849,
28.677464,77.261968,
28.677388,77.262403,
28.677141,77.263706,
28.677137,77.263845,
28.677127,77.263882,
28.677016,77.264281,
28.676984,77.264419,
28.676964,77.264504,
28.676912,77.264727,
28.676843,77.265081,
28.676835,77.265125,
28.676811,77.265269,
28.676790,77.265368,
28.676782,77.265400,
28.676745,77.265838,
28.676748,77.265903,
28.676774,77.266006,
28.676782,77.266090,
28.676782,77.266219,
28.676748,77.266622,
28.676722,77.266812,
28.676675,77.267164,
28.676656,77.267323,
28.676627,77.267564,
28.676609,77.267741,
28.676552,77.268195,
28.676547,77.268239,
28.676530,77.268398,
28.676502,77.268671,
28.676427,77.269327,
28.676369,77.270002,
28.676396,77.270150,
28.676412,77.270258,
28.676436,77.270394,
28.676463,77.270549,
28.676485,77.270663,
28.676509,77.270751,
28.676524,77.270802,
28.676535,77.270831,
28.676548,77.270864,
28.676597,77.270987,
28.676784,77.271416,
28.676818,77.271478,
28.676846,77.271521,
28.676871,77.271557,
28.676898,77.271602,
28.676930,77.271664,
28.676950,77.271714,
28.676963,77.271749,
28.676977,77.271806,
28.676961,77.271854,
28.677354,77.272068,
28.677516,77.272156,
28.677673,77.272241,
28.677711,77.272262,
28.677857,77.272341,
28.678036,77.272438,
28.678253,77.272555,
28.678370,77.272618,
28.678474,77.272674,
28.678608,77.272747,
28.679043,77.272982,
28.679241,77.273102,
28.679464,77.273206,
28.679607,77.273284,
28.679712,77.273338,
28.679852,77.273412,
28.679985,77.273476,
28.680182,77.273588,
28.680329,77.273666,
28.680433,77.273721,
28.680591,77.273805,
28.680766,77.273898,
28.680861,77.273949,
28.681025,77.274011,
28.681163,77.274085,
28.681321,77.274158,
28.681434,77.274207,
28.681542,77.274256,
28.682157,77.274534,
28.682649,77.274755,
28.682690,77.274776,
28.682914,77.274884,
28.682965,77.274909,
28.683387,77.275041,
28.683485,77.275054,
28.683467,77.275189,
28.683892,77.275301,
28.684223,77.275387,
28.684731,77.275599,
28.685697,77.276058,
28.686733,77.276633,
28.687880,77.277275,
28.688887,77.277839,
28.689268,77.278096,
28.689376,77.278156,
28.689363,77.278195,
28.689316,77.278337,
28.689252,77.278494,
28.689196,77.278631,
28.689281,77.278672,
28.689519,77.278799,
28.689772,77.278934,
28.689867,77.278983,
28.689986,77.279044,
28.690182,77.279138,
28.690384,77.279245,
28.690634,77.279379,
28.690676,77.279396,
28.690698,77.279405,
28.690603,77.279680,
28.690479,77.280046,
28.690407,77.280259,
28.690299,77.280577,
28.690294,77.280594,
28.690134,77.281186,
28.690041,77.281526,
28.690033,77.281612,
28.690026,77.281689,
28.689998,77.282043,
28.689969,77.282247,
28.689927,77.282549,
28.689856,77.283033,
28.689839,77.283167,
28.689826,77.283276,
28.689751,77.283893,
28.689749,77.283921,
28.689556,77.285538,
28.689544,77.285624,
28.689461,77.286323,
28.689396,77.286895,Chajjupur Bus Stop
28.689297,77.287693,
28.689290,77.287738,
28.689241,77.288084,
28.689206,77.288324,
28.689206,77.288438,
28.689206,77.288515,
28.689243,77.288887,
28.689264,77.289357,
28.689269,77.289544,
28.689272,77.289624,
28.689274,77.289685,
28.689282,77.289842,
28.689284,77.289946,
28.689286,77.290055,
28.689281,77.290276,
28.689285,77.290689,
28.689283,77.291022,
28.689273,77.291349,Jyoti Nagar
28.689273,77.291727,
28.689272,77.291890,
28.689278,77.291952,
28.689280,77.291963,
28.689280,77.292036,
28.689271,77.292139,
28.689273,77.292187,
28.689275,77.292233,Durgapuri Crossing Bus Stop
28.689280,77.292333,
28.689282,77.292365,
28.689287,77.292547,
28.689299,77.292872,
28.689305,77.293139,
28.689313,77.293353,
28.689326,77.293697,
28.689332,77.293969,
28.689335,77.294075,
28.689343,77.294432,
28.689358,77.295312,
28.689369,77.295622,
28.689372,77.295731,Durgapuri Bus Stop
28.689385,77.295904,
28.689396,77.296132,
28.689420,77.296839,
28.689443,77.297877,
28.689452,77.298172,
28.689512,77.301208,
28.689538,77.301756,
28.689816,77.305260,
28.689854,77.306123,
28.689868,77.306516,
28.689803,77.306419,
28.689794,77.306113,
28.689621,77.303874,
28.689605,77.303741,
